#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,1112.456298828125,2.295395647065871
20,1113.918212890625,4.039994854831943
30,1115.4345703125,4.774312834552694
40,1116.5245361328125,6.934851819016361
50,1118.9346923828125,9.085774937973177
60,1120.015380859375,10.982645362460431
70,1123.154052734375,11.360288978491564
80,1123.5560302734375,14.810357880230384
90,1125.867919921875,16.27084694294431
100,1126.424560546875,18.727592564248457
110,1131.1337890625,18.345009885161755
120,1131.5732421875,20.638288421056103
130,1136.256103515625,19.22575107798378
140,1136.6766357421875,23.485497835014897
150,1141.9991455078125,21.014740747724662
160,1137.818115234375,26.66735938872109
170,1138.208740234375,30.759209673406037
180,1143.346435546875,28.62409101024458
190,1145.66650390625,30.66180186545145
200,1143.77783203125,34.50034278611588
210,1149.393310546875,32.4865195234106
220,1148.5771484375,35.17467244478752
230,1148.347412109375,35.3321568265984
240,1148.4835205078125,39.221318099185545
250,1152.19140625,36.028337253974584
260,1150.201416015625,40.41854413936418
270,1156.695556640625,38.80655020725284
280,1159.146484375,40.445591891346886
290,1162.6641845703125,38.61608872605317
300,1161.256591796875,42.25531308785856
310,1161.6474609375,44.49523565455383
320,1164.024658203125,45.42302452391885
330,1162.1951904296875,49.63123635584314
340,1164.128173828125,52.69368528410092
350,1162.1533203125,55.262718709567544
360,1161.36083984375,58.598035122192535
370,1161.1068115234375,57.48625960133311
380,1166.6866455078125,54.84940180279093
390,1168.1326904296875,57.34537537183633
400,1171.4571533203125,57.22546704969315
410,1177.947998046875,55.29631461734627
420,1179.537353515625,57.7144703837047
430,1181.974853515625,56.4343853903804
440,1182.700927734375,56.33854997264431
450,1184.8251953125,59.842026320067646
460,1187.632080078125,58.348925450298765
470,1182.526123046875,65.89804821553184
480,1183.80908203125,65.1793246738777
490,1181.9044189453125,70.4064933059519
500,1185.8272705078125,71.784414265529
510,1182.6270751953125,74.0168314674217
520,1189.2420654296875,67.65815108097463
530,1190.73193359375,69.08343417939639
540,1186.178466796875,71.37776292061399
550,1187.3828125,71.75974360191563
560,1191.7646484375,68.53014574024591
570,1193.873046875,68.15878573170964
580,1191.2799072265625,72.39275333317144
590,1194.8310546875,70.85942089950645
600,1191.062255859375,79.68345861949481
610,1202.6475830078125,74.16551789991837
620,1198.7802734375,82.72991153098722
630,1204.4808349609375,77.73219066060524
640,1199.2197265625,83.53094588436109
650,1207.289794921875,78.76437481902899
660,1198.6622314453125,91.38256136306305
670,1207.20947265625,85.0818897078082
680,1198.332763671875,96.26198689005442
690,1201.862548828125,97.66419928237305
700,1204.0184326171875,91.46202210451798
710,1206.2523193359375,91.79483016046991
720,1203.17578125,95.63009796282832
730,1217.926513671875,86.82881521216048
740,1223.1256103515625,83.93320967248997
750,1214.5528564453125,92.90164126400397
760,1216.1319580078125,91.66627002235899
770,1218.255859375,90.11613499815414
780,1212.0545654296875,97.09660151575957
790,1212.757080078125,97.33117342634625
800,1216.945068359375,98.47350887160755
810,1222.6793212890625,94.76183061690912
820,1221.6551513671875,98.39884707081796
830,1227.17041015625,97.27175893459913
840,1228.31005859375,96.76887090167219
850,1233.6317138671875,94.39656949406898
860,1231.774658203125,102.49671071645676
870,1233.78271484375,105.64272941273539
880,1231.5438232421875,108.48203976372905
890,1236.802490234375,106.40469599506956
900,1233.5689697265625,110.9334471138182
910,1235.887451171875,113.33268004813549
920,1231.0941162109375,118.69740630948543
930,1250.1229248046875,102.36567028400549
940,1240.674560546875,113.18273999198163
950,1250.7418212890625,106.0987783745881
960,1247.208740234375,108.99677609998822
970,1247.48291015625,110.02651070174096
980,1235.8646240234375,121.0064011077773
990,1243.534423828125,121.42763955544368
1000,1230.390380859375,129.72732757410859
1010,1244.6927490234375,118.32427187679951
1020,1242.5848388671875,122.58314050248694
1030,1253.8701171875,112.87408240684134
1040,1239.615966796875,122.76896040192712
1050,1253.62060546875,110.7958184706513
1060,1245.746337890625,117.27780602082255
1070,1248.416748046875,114.64783707883569
1080,1249.80517578125,114.5016022087313
1090,1249.54931640625,118.70522756003146
1100,1262.111572265625,108.54832928006087
1110,1255.720703125,114.65906838386661
1120,1259.7509765625,117.14312997366493
1130,1262.187744140625,115.9505367273317
1140,1269.052001953125,111.63447185676782
1150,1253.3077392578125,126.10355019698879
1160,1256.08349609375,122.62800145785303
1170,1258.8934326171875,123.65435948592625
1180,1248.184326171875,134.3924740581675
1190,1264.508056640625,122.66381134164232
1200,1259.48876953125,130.05207487046354
1210,1267.9451904296875,127.99711107319206
1220,1270.9779052734375,128.62568612876822
1230,1270.3778076171875,133.71016758857706
1240,1265.018310546875,140.0495224243251
1250,1266.6590576171875,139.7407555299015
1260,1264.969482421875,139.56883525502357
1270,1262.0203857421875,145.2088166931412
1280,1263.4384765625,146.9917164959797
1290,1265.1787109375,150.81084435813676
1300,1270.861328125,147.3222573099756
1310,1272.899658203125,148.107684620781
1320,1284.2413330078125,141.56042487075004
1330,1270.09326171875,152.34575371346472
1340,1272.366943359375,153.8187615510735
1350,1267.1160888671875,156.86975886854754
1360,1266.1865234375,160.2456407846375
1370,1259.7109375,173.4959882012928
1380,1269.7056884765625,166.47811117439744
1390,1265.15380859375,168.99185008410066
1400,1283.773681640625,158.7787562488911
1410,1266.610595703125,166.27551097254334
1420,1289.897216796875,152.3882578580044
1430,1286.866455078125,154.98434027653516
1440,1298.94091796875,145.47732235361715
1450,1283.340576171875,159.9132091199511
1460,1290.7572021484375,160.0630673471871
1470,1294.405517578125,161.8891239190198
1480,1292.26611328125,166.89537926931166
1490,1298.2626953125,165.6208896550436
1500,1284.7906494140625,174.25786998404803
1510,1287.5771484375,174.4125764577912
1520,1271.85693359375,188.84492279036542
1530,1285.0213623046875,182.65758173991813
1540,1283.6363525390625,183.3030629282367
1550,1278.7127685546875,189.08784489330557
1560,1282.384033203125,192.94183210314833
1570,1302.9676513671875,170.0389472261777
1580,1290.233642578125,184.3435075069419
1590,1300.8408203125,171.6172557825829
1600,1308.89599609375,168.61672048726996
