#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,702.5283203125,2.066625099301391
20,704.86962890625,3.7097250902717036
30,706.0376586914062,5.900118168547871
40,708.40380859375,6.8146368869257286
50,709.9139404296875,8.337607515535364
60,711.6484985351562,10.421031851727747
70,713.9143676757812,11.443622674568726
80,714.772705078125,12.997656098320258
90,717.42919921875,13.937202161453028
100,719.4212036132812,15.17557477767187
110,723.244384765625,14.5308904453071
120,720.9389038085938,19.48481480678782
130,725.0784912109375,19.256973444464958
140,727.9000244140625,20.14091972857424
150,728.6419067382812,21.748444303351615
160,729.3321533203125,24.527432538397107
170,734.4269409179688,24.50427715995446
180,732.908203125,28.548892375839646
190,734.9542236328125,29.168541796010743
200,735.805908203125,29.995967268464245
210,738.4337768554688,31.277110577161796
220,740.63232421875,33.138822351303354
230,743.5259399414062,34.77953658231385
240,745.5302734375,34.1999796296869
250,746.64306640625,35.54191987258112
260,746.91845703125,36.15362726846081
270,749.8731689453125,38.93103554804322
280,753.7679443359375,40.89844511264285
290,753.4615478515625,44.7535670170202
300,756.8319091796875,45.25908135345462
310,763.3812866210938,44.18905076628664
320,760.82275390625,49.57586894164518
330,765.5101928710938,48.26494958326218
340,759.1141357421875,51.257860844691315
350,759.8903198242188,50.88831429151177
360,763.406494140625,50.20840296734861
370,765.1334838867188,51.21960882897586
380,763.24169921875,54.75214652915638
390,773.7500610351562,53.390020278149265
400,770.3524169921875,57.72740575864812
410,766.2921142578125,61.50466762969768
420,772.3660278320312,58.96631285725012
430,774.2094116210938,61.25492964191
440,768.27099609375,64.8087843853154
450,775.69775390625,59.913242369066666
460,777.7184448242188,58.12976151808225
470,769.006591796875,71.42501618979303
480,783.6547241210938,62.933751998193166
490,785.2972412109375,65.92746374150657
500,783.9382934570312,67.9337825800537
510,790.572509765625,64.36787924341749
520,787.6171264648438,67.72703745852964
530,784.1202392578125,72.04437296746035
540,787.4119873046875,72.6901424708073
550,784.63818359375,77.57289770948147
560,794.96337890625,72.24864565580705
570,794.18212890625,77.28760610344061
580,797.5637817382812,78.8676145927568
590,802.8154907226562,73.92360100575377
600,801.8281860351562,76.62407701093001
610,803.8614501953125,77.44152862252355
620,807.2033081054688,74.81089139771713
630,799.1150512695312,85.75103249247121
640,813.678955078125,74.0251504406743
650,803.8113403320312,82.24114330741023
660,815.6211547851562,73.5709331166631
670,808.9359130859375,80.29929286527288
680,817.748291015625,77.1974131828214
690,803.5457153320312,90.3795841917141
700,812.050537109375,88.0734959031116
710,803.8963623046875,97.4400738103101
720,817.5567626953125,87.24070558391278
730,807.1227416992188,97.79366183584611
740,816.757568359375,95.88253592878517
750,815.9234619140625,96.63680477674286
760,819.49951171875,96.11434843428707
770,822.7696533203125,96.56856009568604
780,828.5562744140625,95.57345161687256
790,836.5407104492188,91.27200920486894
800,821.7354125976562,104.36168240425683
810,825.685791015625,105.22566030635394
820,821.2853393554688,109.30532203975936
830,829.1035766601562,104.75719421839717
840,825.4666137695312,109.95946852195627
850,841.3251953125,99.27351567729866
860,830.1987915039062,112.04019110242903
870,839.3687133789062,104.65740679213424
880,841.3013916015625,107.73636492652234
890,850.716796875,103.25745213308302
900,849.0717163085938,111.82460901872221
910,859.247314453125,107.3519970599836
920,852.018310546875,116.75980163594855
930,850.3799438476562,118.3333865095196
940,833.19677734375,134.6389633056469
950,856.6900024414062,117.21128107215274
960,859.572998046875,115.87333580711775
970,844.3350219726562,127.08301040701303
980,854.9622192382812,121.01829448256696
990,855.8600463867188,122.70516380956398
1000,858.8285522460938,123.2630903365638
1010,847.285400390625,131.1067299303661
1020,861.84521484375,122.60107415624458
