#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,10911.064453125,2.2240183143149843
20,10913.36328125,3.4651413292010877
30,10915.16796875,5.123935572576985
40,10917.4453125,7.024768676139213
50,10920.5029296875,7.272484168917896
60,10922.1298828125,9.461244684169984
70,10924.80859375,10.339533392776119
80,10924.396484375,13.226736296304658
90,10927.1728515625,12.531411003350172
100,10927.1689453125,15.448852530683528
110,10931.0595703125,15.367272762729202
120,10932.1650390625,16.64467580495027
130,10933.7578125,18.623927940939804
140,10935.8232421875,19.477540770320832
150,10940.216796875,19.731955413685174
160,10941.8720703125,22.012832732324895
170,10944.162109375,21.380712380787735
180,10943.900390625,25.147447392604004
190,10946.890625,26.666623816583133
200,10946.1728515625,29.42619775392819
210,10951.087890625,30.003976118092222
220,10957.6982421875,27.27982471961444
230,10954.2724609375,32.74018753544355
240,10957.666015625,34.85590043363525
250,10963.546875,32.911485918335174
260,10959.486328125,39.01899472086086
270,10963.7041015625,40.198764807153815
280,10965.958984375,41.718361439803516
290,10970.560546875,38.54443812784398
300,10972.705078125,41.14800172317882
310,10966.359375,45.72216456975087
320,10974.7080078125,44.98702077887123
330,10985.10546875,42.07272533555561
340,10976.751953125,51.49755731960473
350,10988.2265625,46.08619299280568
360,10977.501953125,55.64038710394617
370,10989.3720703125,52.69068014865229
380,10986.4072265625,57.50836957386375
390,10986.982421875,62.332843595275314
400,10990.15625,59.2695439469784
410,10988.4384765625,63.68941138354411
420,10993.791015625,60.88363184327729
430,10988.27734375,67.8039707507426
440,11005.11328125,59.08450333394967
450,10995.3974609375,66.85328292407159
460,11007.4921875,59.38698701610567
470,11003.1201171875,62.23441483614909
480,11004.47265625,67.80343764152427
490,11013.591796875,60.99928499223955
500,11006.841796875,67.05431756356323
510,11017.3974609375,62.75145924505654
520,11009.900390625,72.85293479589737
530,11014.8115234375,71.61982854512259
540,11011.763671875,76.40698006295285
550,11016.2177734375,75.67367707432709
560,11025.509765625,76.3784389859794
570,11027.0771484375,76.50738963028958
580,11024.0986328125,79.88007176018776
590,11032.3701171875,73.54899247549332
600,11021.142578125,82.98046484679108
610,11035.8251953125,76.50916406680264
620,11020.380859375,88.83259693306363
630,11032.6865234375,83.61179770049851
640,11019.69921875,94.30015904902042
650,11034.896484375,88.03958398497042
660,11040.0234375,85.47739553676647
670,11040.4423828125,84.77905115617982
680,11030.490234375,92.4294511481663
690,11050.9814453125,77.6530648339479
700,11028.5791015625,92.05221616671275
710,11030.9189453125,93.50160592090506
720,11036.2158203125,93.54604282620686
730,11033.0166015625,99.36563961779285
740,11036.19140625,98.4179846308025
750,11039.06640625,95.6791992339827
760,11051.1025390625,90.2871454620303
770,11053.498046875,87.36906231698612
780,11045.2958984375,94.81937136095175
790,11058.9375,86.92746535469703
800,11043.724609375,100.22611533234
810,11057.365234375,93.44537614430823
820,11033.310546875,112.14624427129722
830,11055.0029296875,101.63725767221915
840,11055.1630859375,102.27305523984765
850,11053.64453125,103.93757166292063
860,11068.8759765625,95.41078156691454
870,11066.9619140625,101.4375380806085
880,11067.1884765625,101.40554595663461
890,11043.994140625,119.48196695745582
900,11066.1552734375,106.06910892887781
910,11057.9716796875,113.97053344799646
920,11079.6767578125,102.30797925695137
930,11055.3115234375,122.89412082143558
940,11091.740234375,105.2858174011897
950,11071.896484375,114.8664306246367
960,11083.77734375,114.27510464184274
970,11082.333984375,117.53332920346644
980,11081.994140625,122.64808053420396
990,11076.30078125,127.24979421406869
1000,11077.322265625,133.21532274769066
1010,11091.0888671875,126.56295662331272
1020,11116.87109375,110.76292651912
1030,11092.66796875,129.36014670906897
1040,11109.93359375,120.45452389174541
1050,11092.87109375,131.72673062509315
1060,11101.759765625,124.08548414895134
1070,11094.9169921875,130.5742210385888
1080,11097.775390625,127.11699395304011
1090,11094.0361328125,131.87002756811378
1100,11106.5712890625,125.45277451080352
1110,11102.3486328125,131.81461645757673
1120,11119.94140625,123.81811685405158
1130,11095.6591796875,141.66991601789613
1140,11104.560546875,137.83886748577785
1150,11112.810546875,137.02951638014326
1160,11105.9375,145.676245180643
1170,11122.005859375,134.15117473544365
1180,11090.74609375,155.04602599353152
1190,11119.0087890625,138.82892351736703
1200,11119.97265625,137.7032260647947
1210,11112.2763671875,143.01467392607793
1220,11102.7744140625,147.858438756519
1230,11128.08984375,134.25305864109606
1240,11110.7294921875,145.37892001949328
1250,11121.6318359375,140.0461246510145
1260,11126.130859375,136.73791119150923
1270,11116.361328125,148.69908477247432
1280,11118.85546875,147.59858923756525
1290,11102.90234375,159.19094312249396
1300,11121.876953125,150.5361430695656
1310,11120.9755859375,151.19666308373823
1320,11127.8515625,151.24817484660068
1330,11130.3310546875,151.5504797203265
1340,11133.369140625,152.41443738146435
1350,11130.654296875,153.98677539391696
1360,11133.349609375,155.7101195335747
1370,11146.69921875,150.241113863083
1380,11126.9130859375,171.71200099164585
1390,11133.345703125,171.365039906341
1400,11132.890625,170.10892821546958
