#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,1649.6658935546875,2.318954150700498
20,1652.8172607421875,3.574906824264353
30,1655.3922119140625,5.276769759120292
40,1658.512939453125,5.580815152540518
50,1660.6141357421875,7.694413509500533
60,1662.68115234375,9.796362720781364
70,1666.6392822265625,10.389941658598389
80,1667.6806640625,12.784764880074116
90,1670.030029296875,14.583759759197402
100,1673.415283203125,15.819375664444493
110,1677.5067138671875,17.381972338594153
120,1678.9825439453125,19.003007638525027
130,1677.125732421875,22.02217508205284
140,1686.561279296875,19.89783473068959
150,1688.68896484375,20.668010766520272
160,1687.4290771484375,25.127352514281075
170,1693.0711669921875,26.051559790134878
180,1691.843505859375,30.07610691809739
190,1693.4727783203125,33.33328081692774
200,1706.1148681640625,29.114003905750522
210,1696.9735107421875,36.621071154043165
220,1705.5172119140625,35.50210037336419
230,1705.9410400390625,34.826315153340055
240,1708.4700927734375,36.22800764035713
250,1711.8431396484375,38.18006049919293
260,1717.8525390625,38.71819533329246
270,1721.6588134765625,38.29128551672001
280,1717.0059814453125,44.5173138753588
290,1720.8580322265625,44.55844640634889
300,1731.623046875,42.138296719456434
310,1730.678466796875,46.07300132867704
320,1726.0523681640625,48.65726287096005
330,1731.152099609375,46.318508413169965
340,1734.265869140625,46.68761257383018
350,1731.1590576171875,52.61293076163844
360,1740.788818359375,49.796937819605276
370,1738.96728515625,52.856403817045354
380,1741.1361083984375,54.252493095648006
390,1747.5130615234375,53.59843897702068
400,1749.4061279296875,56.1048975917132
410,1748.75537109375,56.81140866305128
420,1755.656982421875,54.62527839907105
430,1756.0396728515625,56.131698969957974
440,1751.2691650390625,61.32112742481949
450,1747.166748046875,65.62941207674024
460,1753.9364013671875,65.28407912748207
470,1760.2135009765625,64.08659914246881
480,1760.93603515625,65.79014693768606
490,1762.0792236328125,66.67180008683226
500,1759.6441650390625,69.2461817406683
510,1755.6807861328125,74.27176660613492
520,1762.2655029296875,68.94895661526681
530,1762.317138671875,71.64538961256352
540,1772.26611328125,68.61530638307943
550,1769.592041015625,70.36276047803642
560,1770.37646484375,73.59437687182859
570,1778.0440673828125,71.27664707208923
580,1780.5069580078125,71.31132569993557
590,1789.1197509765625,67.19866982301664
600,1772.205078125,80.07565625851298
610,1786.260009765625,74.57928609146296
620,1785.63525390625,75.25003333063484
630,1787.3121337890625,78.55486325613758
640,1802.1275634765625,70.18577457456597
650,1807.3363037109375,71.64479133369474
660,1794.3096923828125,81.08258245652209
670,1796.177734375,80.86683896758697
680,1800.642578125,82.17299647175102
690,1810.18701171875,79.9538616965624
700,1804.66162109375,85.45305157777189
710,1797.697021484375,92.10253579729255
720,1788.9412841796875,100.49677399591057
730,1792.29541015625,100.82974801952702
740,1804.7139892578125,94.74641355141941
750,1812.5009765625,92.70135760929145
760,1820.6904296875,87.63110931546825
770,1811.7392578125,93.33034183183238
780,1801.705322265625,102.06529524985174
790,1836.2572021484375,86.653841553239
800,1833.454345703125,87.30334915869508
810,1831.8250732421875,90.69401325804152
820,1826.5653076171875,96.55566055345712
830,1831.5279541015625,100.94749639635813
840,1832.576171875,103.48480410022924
850,1832.06494140625,106.13721350063221
860,1850.822509765625,96.72830280509162
870,1819.71533203125,115.2805946969607
880,1829.8758544921875,111.38877851494794
890,1828.49951171875,113.42363840408842
900,1830.948974609375,113.8837127303234
910,1849.6448974609375,100.67652759963582
920,1835.578857421875,109.54010949793985
930,1843.7464599609375,106.66614717088504
940,1831.865478515625,109.34319720652965
950,1826.2076416015625,112.4990412160442
960,1846.454345703125,100.79909090730114
970,1833.6448974609375,109.6536485090164
980,1835.5174560546875,108.583011326945
990,1822.97802734375,121.48508559750019
1000,1854.1485595703125,107.24638503448858
1010,1855.170654296875,107.11461556027282
1020,1856.5711669921875,107.13932467098724
1030,1869.2720947265625,103.40880683749275
1040,1847.0682373046875,114.94609388772136
1050,1865.53564453125,106.73473957451559
1060,1869.403076171875,106.0581443840441
1070,1866.937744140625,111.88798383928871
1080,1884.017578125,103.87696685133506
1090,1849.671630859375,126.90024949231557
1100,1876.80712890625,113.54254887902036
1110,1874.9803466796875,117.61506176453419
1120,1862.8236083984375,125.20149040725545
1130,1880.3980712890625,120.77873187932202
1140,1880.8096923828125,123.32817555029354
1150,1874.4532470703125,128.16980394273966
1160,1846.125,146.5143668861203
1170,1894.2451171875,124.1882230036686
1180,1869.16162109375,135.41672768406488
1190,1874.9754638671875,134.24246297277173
1200,1872.4237060546875,133.7515066227633
1210,1861.1209716796875,147.9141931401107
1220,1892.980712890625,128.90280929769312
1230,1879.537353515625,139.33401075714056
